symbol,current_price,return_1m,return_3m,return_12m,sortino_1m,sortino_3m,current_slope,slope_trend,slope_acceleration,status,is_accelerating,is_decelerating,trajectory,volatility_ratio,has_divergence,divergence_type,divergence_strength,days_to_peak,days_to_nadir,signal,confidence
ACAD,23.7789,-5.376442499005174,-5.036341853035142,21.32091836734693,-3.0954625880796227,-1.1524953164674185,-0.29732590568565026,-0.2251160536392144,-0.08691084230780516,Decelerating,False,True,V-shaped,1.2451493686924109,False,,0.0,,30.0,SELL,85
ADTTF,155.1,-18.36842105263158,31.574482524601287,134.50257030541275,-4.153262874507755,2.3619593614712286,-0.6412389297447999,-0.2701867010872906,-0.066453598538144,Decelerating,False,True,V-shaped,0.9925213103365383,False,,0.0,52.0,,SELL_SOON,70
ABM,44.59,-3.149435273675061,3.6976744186046684,-17.927480213510027,-1.1403667820472456,0.4158402546244109,0.007844712652787352,0.08013239156783755,-0.0058382927569105465,Stable,False,False,V-shaped,0.9317668240700998,False,,0.0,,111.0,SELL,85
ABBV,232.39,4.2060894130308,2.0597277119016155,11.17542936420608,2.722352104325207,0.45204349490492635,0.06312684832902317,0.018229979082257777,0.036765611939270255,Accelerating,True,False,V-shaped,0.9910703105730504,False,,0.0,36.0,,BUY,75
AAPL,263.84,1.6802836442114888,-5.382822305899248,9.096923585841864,0.8552688003282987,-1.3069278266530635,-0.11881636139570692,-0.07536830892155427,0.0394445880566339,Accelerating,True,False,V-shaped,1.4310103889625718,False,,0.0,,24.0,SELL,85
ACMR,55.2152,-4.997935306262891,65.26548937443881,112.8573631457209,-0.623112719116835,4.199930967748672,0.08727480040863608,0.41456479678198693,0.13675015636389165,Accelerating,True,False,V-shaped,1.5120616571392764,False,,0.0,32.0,,STRONG_BUY,90
ABT,114.09,4.3824336688014665,-11.489526764934055,-17.332077385696675,5.754814294211218,-1.7478898710388457,0.05516373240342781,-0.0028874341180441764,0.04148389041808997,Accelerating,True,False,V-shaped,0.33755293162925715,False,,0.0,,90.0,SELL,85
AER,150.2,4.552415425309753,12.089552238805968,45.683802133850634,3.5356612937257594,4.087255838850985,-0.0909681516996115,-0.044353103534816,0.024026982561029857,Stable,False,False,V-shaped,1.3355563049254293,False,,0.0,31.0,,HOLD,50
AAXJ,104.24,3.9385781234420048,12.497301964170093,41.4958599158409,4.510091435428473,5.408107948605223,0.034306998497463964,0.06926714434421782,0.021571534998307818,Stable,False,False,V-shaped,1.0303822618000744,False,,0.0,44.0,,HOLD,50
ADBE,260.75,-11.082693947144072,-18.548714584699965,-40.544053265231675,-3.6917898027161584,-2.6448576197584863,-0.20122862859178856,-0.188008130051971,-0.02200565124749224,Stable,False,False,V-shaped,1.2859530714323963,False,,0.0,,39.0,SELL,85
AAL,12.58,-5.41353383458647,-10.462633451957304,-12.334494773519156,-2.089782253528309,-1.4512556429415604,-0.4217366849916898,-0.2565929782958972,-0.08993338992591159,Decelerating,False,True,V-shaped,1.0908907309247498,False,,0.0,,30.0,SELL,85
ACWI,145.925,0.29209621993127044,3.1490775429419804,20.768848795828852,0.5424952121547241,1.6750956797859042,-0.02714688642759549,0.004325637311177044,0.006762018415484467,Stable,False,False,V-shaped,0.8827461407494903,False,,0.0,47.0,,HOLD,50
ACM,97.13,0.7259151716270784,-5.81789973819451,-2.9185407296351884,0.14317700875936762,-0.6568130637984998,0.14399141881860808,0.07090616046527597,0.040657174838759434,Accelerating,True,False,V-shaped,1.7492214133699506,False,,0.0,,5.0,SELL,85
ABNB,132.095,2.1063615985158712,12.911359945294464,-4.878663498235769,0.8205430854337932,1.9336616714288588,-0.020101646218734157,-0.050793304619615925,-0.01873386940191473,Stable,False,False,V-shaped,1.2096754787739947,False,,0.0,49.0,,HOLD,50
