ticker,pole,ranker_rank,ranker_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,spread_support,source_count,sources,sector
EWY,VXUS,11.0,90.2,,,,,,5.1,,none,2,"['ranker', 'secrot']",
FLKR,VXUS,14.0,88.3,,,,,,4.7,,none,2,"['ranker', 'secrot']",
GOLY,IAU,37.0,82.9,,,,,,3.2,,none,2,"['ranker', 'secrot']",
COPX,IAU,52.0,81.4,,,,,,4.9,,none,2,"['ranker', 'secrot']",
GDMN,IAU,59.0,80.5,,,,,,4.3,,none,2,"['ranker', 'secrot']",
EWW,IAU,65.0,80.0,,,,,,5.0,,none,2,"['ranker', 'secrot']",
SCHY,VGK,66.0,79.9,,,,,,3.1,,none,2,"['ranker', 'secrot']",
XLU,XLU,68.0,79.4,,,,,,2.2,,none,2,"['ranker', 'secrot']",
ICOW,VXUS,68.0,79.4,,,,,,3.6,,none,2,"['ranker', 'secrot']",
VPL,VXUS,68.0,79.4,,,,,,4.0,,none,2,"['ranker', 'secrot']",
REMX,IAU,73.0,78.8,,,,,,4.0,,none,2,"['ranker', 'secrot']",
RAAX,IAU,73.0,78.8,,,,,,3.3,,none,2,"['ranker', 'secrot']",
VPU,XLU,75.0,78.7,,,,,,2.2,,none,2,"['ranker', 'secrot']",
EPU,IAU,75.0,78.7,,,,,,4.6,,none,2,"['ranker', 'secrot']",
AVDV,VXUS,79.0,78.5,,,,,,3.7,,none,2,"['ranker', 'secrot']",
RODM,VGK,80.0,78.1,,,,,,3.2,,none,2,"['ranker', 'secrot']",
ICOP,IAU,80.0,78.1,,,,,,2.0,,none,2,"['ranker', 'secrot']",
FNDF,VXUS,84.0,77.9,,,,,,3.5,,none,2,"['ranker', 'secrot']",
IGF,XLU,86.0,77.7,,,,,,4.0,,none,2,"['ranker', 'secrot']",
SII,IAU,90.0,77.2,,,,,,5.0,,none,2,"['ranker', 'secrot']",
PXF,VXUS,93.0,76.9,,,,,,4.5,,none,2,"['ranker', 'secrot']",
GLD,IAU,94.0,76.8,,,,,,3.6,,none,2,"['ranker', 'secrot']",
PHYS,IAU,94.0,76.8,,,,,,3.3,,none,2,"['ranker', 'secrot']",
SGOL,IAU,94.0,76.8,,,,,,3.2,,none,2,"['ranker', 'secrot']",
IAU,IAU,97.0,76.7,,,,,,3.6,,none,2,"['ranker', 'secrot']",
DISV,VXUS,100.0,76.5,,,,,,3.6,,none,2,"['ranker', 'secrot']",
FDT,VXUS,100.0,76.5,,,,,,3.4,,none,2,"['ranker', 'secrot']",
EMEQ,VXUS,108.0,75.7,,,,,,3.2,,none,2,"['ranker', 'secrot']",
LVHI,XLB,110.0,75.6,,,,,,3.4,,none,2,"['ranker', 'secrot']",
FIDI,VXUS,113.0,75.4,,,,,,3.4,,none,2,"['ranker', 'secrot']",
THD,VXUS,115.0,75.1,,,,,,4.1,,none,2,"['ranker', 'secrot']",
GMOI,VGK,119.0,74.7,,,,,,2.1,,none,2,"['ranker', 'secrot']",
ORR,SPY,119.0,74.7,,,,,,3.3,,none,2,"['ranker', 'secrot']",
AVIV,VXUS,121.0,74.6,,,,,,3.3,,none,2,"['ranker', 'secrot']",
DFIS,VXUS,125.0,74.2,,,,,,3.4,,none,2,"['ranker', 'secrot']",
DIHP,VGK,128.0,73.9,,,,,,3.1,,none,2,"['ranker', 'secrot']",
DFIC,VXUS,131.0,73.6,,,,,,3.3,,none,2,"['ranker', 'secrot']",
IGLD,IAU,131.0,73.6,,,,,,4.9,,none,2,"['ranker', 'secrot']",
MGNR,IAU,141.0,72.8,,,,,,3.1,,none,2,"['ranker', 'secrot']",
FLMX,IAU,143.0,72.7,,,,,,3.6,,none,2,"['ranker', 'secrot']",
IDV,VXUS,143.0,72.7,,,,,,4.3,,none,2,"['ranker', 'secrot']",
XSOE,VXUS,146.0,72.5,,,,,,4.5,,none,2,"['ranker', 'secrot']",
EZA,IAU,150.0,72.4,,,,,,5.1,,none,2,"['ranker', 'secrot']",
HALFF,XLC,150.0,72.4,,,,,,3.3,,none,2,"['ranker', 'secrot']",
JHEM,VXUS,150.0,72.4,,,,,,4.9,,none,2,"['ranker', 'secrot']",
PSLV,--,,,,,,,,3.6,7.0,none,2,"['secrot', 'stock_secrot']",Financial Services
