ticker,pole,ranker_rank,ranker_score,ranker_long_rank,ranker_long_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,spread_support,source_count,sources,sector
PHYS,IAU,118.0,71.6,9.0,89.4,,,,,,3.2,6.0,none,4,"['ranker', 'ranker_long', 'secrot', 'stock_secrot']",Financial Services
LHX,XLI,10.0,89.3,45.0,84.5,,,,,,,8.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
MTSI,XLK,24.0,85.2,101.0,80.2,,,,,,,6.0,bullish,3,"['ranker', 'ranker_long', 'stock_secrot']",Technology
ITA,XLI,35.0,83.6,85.0,81.2,,,,,,3.6,,none,3,"['ranker', 'ranker_long', 'secrot']",
PPA,XLI,38.0,83.3,95.0,80.6,,,,,,2.6,,none,3,"['ranker', 'ranker_long', 'secrot']",
CACI,--,50.0,80.7,99.0,80.3,,,,,,,5.0,bullish,3,"['ranker', 'ranker_long', 'stock_secrot']",Technology
RBC,XLI,53.0,80.2,25.0,87.1,,,,,,,5.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
VDE,XLE,55.0,80.0,145.0,78.0,,,,,,0.6,,none,3,"['ranker', 'ranker_long', 'secrot']",
CW,XLI,57.0,79.7,124.0,78.6,,,,,,,5.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
NOC,XLI,59.0,79.3,8.0,89.8,,,,,,,7.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
PBR,XLE,66.0,77.7,57.0,83.2,,,,,,,7.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Energy
SII,IAU,83.0,75.9,17.0,88.8,,,,,,5.3,,none,3,"['ranker', 'ranker_long', 'secrot']",
EIS,SPY,110.0,72.3,99.0,80.3,,,,,,4.2,,none,3,"['ranker', 'ranker_long', 'secrot']",
HII,XLI,111.0,72.2,130.0,78.5,,,,,,,7.0,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
IAU,IAU,127.0,70.9,14.0,89.0,,,,,,3.2,,none,3,"['ranker', 'ranker_long', 'secrot']",
SGOL,IAU,128.0,70.8,14.0,89.0,,,,,,3.2,,none,3,"['ranker', 'ranker_long', 'secrot']",
GLD,IAU,133.0,70.5,14.0,89.0,,,,,,3.2,,none,3,"['ranker', 'ranker_long', 'secrot']",
