ticker,pole,ranker_rank,ranker_score,ranker_long_rank,ranker_long_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,slope_stage,slope_tq_score,spread_support,source_count,sources,sector
PHYS,IAU,74.0,72.9,4.0,91.1,,,,,,4.2,6.0,,,none,4,"['ranker', 'ranker_long', 'secrot', 'stock_secrot']",Financial Services
PBR,XLE,21.0,85.0,24.0,86.8,,,,,,,7.0,,,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Energy
SII,IAU,25.0,84.0,1.0,92.0,,,,,,5.6,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
LHX,XLI,30.0,80.9,44.0,84.0,,,,,,,8.0,,,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
PPA,XLI,34.0,79.9,71.0,81.7,,,,,,4.5,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
XLE,XLE,35.0,79.2,92.0,79.6,,,,,,3.5,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
VIV,VXUS,38.0,78.8,81.0,80.4,,,,,,,5.0,,,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Communication Services
VDE,XLE,38.0,78.8,98.0,79.2,,,,,,3.7,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
EIS,SPY,41.0,78.6,63.0,82.2,,,,,,3.6,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
XLU,XLU,49.0,77.0,48.0,83.5,,,,,,3.5,,,,bearish,3,"['ranker', 'ranker_long', 'secrot']",
VPU,XLU,56.0,76.3,61.0,82.3,,,,,,3.5,,,,bearish,3,"['ranker', 'ranker_long', 'secrot']",
RAAX,IAU,59.0,75.8,112.0,78.0,,,,,,4.1,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
CACI,--,64.0,74.6,56.0,83.0,,,,,,,5.0,,,bearish,3,"['ranker', 'ranker_long', 'stock_secrot']",Technology
LMT,XLI,65.0,74.5,31.0,85.2,,,,,,,7.0,,,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
SGOL,IAU,69.0,73.5,7.0,91.0,,,,,,3.9,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
IAU,IAU,70.0,73.4,4.0,91.1,,,,,,3.7,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
GLD,IAU,72.0,73.0,8.0,90.9,,,,,,3.7,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
FAN,VGK,75.0,72.8,116.0,77.9,,,,,,4.1,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
ITA,XLI,80.0,72.3,73.0,81.5,,,,,,4.5,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
IEO,XLE,81.0,72.1,150.0,74.9,,,,,,4.2,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
HALFF,--,85.0,71.9,145.0,75.4,,,,,,2.0,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
DBO,XLE,98.0,70.0,58.0,82.8,,,,,,2.0,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
GUNR,IAU,102.0,69.4,80.0,80.6,,,,,,5.4,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
RBC,XLI,103.0,69.3,21.0,87.1,,,,,,,5.0,,,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
NOC,XLI,117.0,66.9,3.0,91.5,,,,,,,7.0,,,none,3,"['ranker', 'ranker_long', 'stock_secrot']",Industrials
NORW,VXUS,117.0,66.9,98.0,79.2,,,,,,5.0,,,,none,3,"['ranker', 'ranker_long', 'secrot']",
FSLY,TLT,1.0,97.8,150.0,74.9,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
TNGX,--,2.0,97.3,17.0,87.7,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
CLMT,--,4.0,95.6,2.0,91.7,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
TERN,--,5.0,95.2,38.0,84.6,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
ERAS,--,6.0,94.7,108.0,78.5,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
BATL,--,7.0,92.0,122.0,77.4,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
ISSC,QQQ,10.0,89.6,11.0,89.4,,,,,,,,,,bearish,2,"['ranker', 'ranker_long']",
PVLA,--,14.0,87.8,134.0,76.7,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
TDW,XLE,14.0,87.8,55.0,83.1,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
NTR,XLE,16.0,86.9,139.0,76.1,,,,,,,3.0,,,bearish,2,"['ranker', 'ranker_long']",Basic Materials
FET,XLE,18.0,86.1,22.0,86.9,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
FTI,XLE,19.0,85.8,4.0,91.1,,,,,,,4.0,,,none,2,"['ranker', 'ranker_long']",Energy
SLGL,--,22.0,84.7,33.0,85.0,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
RTX,XLI,23.0,84.4,69.0,81.8,,,,,,,4.0,,,none,2,"['ranker', 'ranker_long']",Industrials
SHLD,XLI,24.0,84.2,,,,,,,,7.5,,,,none,2,"['ranker', 'secrot']",
BP,XLE,26.0,83.4,51.0,83.4,,,,,,,3.0,,,none,2,"['ranker', 'ranker_long']",Energy
EPD,IAU,28.0,81.3,122.0,77.4,,,,,,,3.0,,,none,2,"['ranker', 'ranker_long']",Energy
KMI,XLE,31.0,80.4,100.0,79.0,,,,,,,3.0,,,none,2,"['ranker', 'ranker_long']",Energy
SOYB,TLT,31.0,80.4,,,,,,,,3.4,,,,none,2,"['ranker', 'secrot']",
EQT,--,33.0,80.3,139.0,76.1,,,,,,,3.0,,,none,2,"['ranker', 'ranker_long']",Energy
BKGI,VXUS,35.0,79.2,,,,,,,,5.4,,,,none,2,"['ranker', 'secrot']",
ROST,HYG,37.0,79.1,131.0,76.8,,,,,,,3.0,,,bearish,2,"['ranker', 'ranker_long']",Consumer Cyclical
XOM,XLE,40.0,78.7,83.0,80.2,,,,,,,3.0,,,none,2,"['ranker', 'ranker_long']",Energy
ORANY,--,41.0,78.6,103.0,78.8,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
APEI,XLY,41.0,78.6,29.0,85.5,,,,,,,,,,bearish,2,"['ranker', 'ranker_long']",
OIH,XLE,45.0,77.9,,,,,,,,3.4,,,,none,2,"['ranker', 'secrot']",
OKE,XLE,46.0,77.8,128.0,77.1,,,,,,,2.0,,,none,2,"['ranker', 'ranker_long']",Energy
HWM,XLI,47.0,77.5,28.0,85.6,,,,,,,2.0,,,none,2,"['ranker', 'ranker_long']",Industrials
CLNFF,--,47.0,77.5,33.0,85.0,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
NSKFF,--,49.0,77.0,40.0,84.2,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
GSG,XLE,49.0,77.0,144.0,75.7,,,,,,,,,,none,2,"['ranker', 'ranker_long']",
TIGO,XLRE,53.0,76.9,51.0,83.4,,,,,,,,,,bearish,2,"['ranker', 'ranker_long']",
PSX,XLE,55.0,76.6,94.0,79.4,,,,,,,3.0,,,none,2,"['ranker', 'ranker_long']",Energy
