ticker,pole,ranker_rank,ranker_score,ranker_long_rank,ranker_long_score,advanced_signal,advanced_confidence,qualifier_safe,qualifier_regime,secrot_pred5d,secrot_score,stock_sr_score,slope_stage,slope_tq_score,health_score,health_verdict,spread_support,source_count,sources,sector
KLAC,XLK,53.0,78.6,124.0,77.6,,,,,,,5.0,,,86.5,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Technology
CW,XLI,60.0,77.5,22.0,85.7,,,,,,,5.0,,,84.4,HEALTHY,none,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Industrials
RIO,XLB,64.0,77.4,135.0,76.9,,,,,,,5.0,,,89.7,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Basic Materials
TER,XLI,68.0,77.1,62.0,80.9,,,,,,,5.0,,,84.9,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Technology
AA,IAU,70.0,76.7,47.0,82.1,,,,,,,5.0,,,89.7,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Basic Materials
IYM,XLB,84.0,75.2,98.0,78.9,,,,,,4.0,,,,84.6,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
NORW,IAU,89.0,74.7,54.0,81.4,,,,,,3.3,,,,84.1,HEALTHY,none,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
MTSI,XLI,91.0,74.6,149.0,76.3,,,,,,,6.0,,,85.8,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Technology
RBC,XLI,120.0,72.1,14.0,87.0,,,,,,,5.0,,,84.0,HEALTHY,none,4,"['ranker', 'ranker_long', 'stock_secrot', 'pullback_health']",Industrials
GNR,XLB,138.0,70.0,57.0,81.2,,,,,,3.5,,,,89.8,HEALTHY,bullish,4,"['ranker', 'ranker_long', 'secrot', 'pullback_health']",
PARR,XLE,2.0,93.4,20.0,86.0,,,,,,,,,,80.1,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
CENX,IAU,3.0,93.3,3.0,91.8,,,,,,,,,,86.0,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
FTI,XLI,6.0,91.3,1.0,92.8,,,,,,,4.0,,,82.5,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Energy
FPLSF,XLI,7.0,89.6,130.0,77.1,,,,,,,,,,84.5,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
LITE,XLI,8.0,89.4,48.0,81.9,,,,,,,2.0,,,85.7,HEALTHY,bullish,3,"['ranker', 'ranker_long', 'pullback_health']",Technology
ESE,XLI,9.0,88.0,27.0,84.7,,,,,,,,,,84.0,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
OIH,XLE,10.0,87.9,,,,,,,,2.8,,,,81.2,HEALTHY,none,3,"['ranker', 'secrot', 'pullback_health']",
MTZ,XLI,12.0,87.2,18.0,86.2,,,,,,,3.0,,,85.2,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",Industrials
EZPW,XLI,13.0,86.9,4.0,90.8,,,,,,,,,,86.0,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
TERN,--,15.0,86.7,16.0,86.7,,,,,,,,,,89.0,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
DNTH,HYG,16.0,86.5,135.0,76.9,,,,,,,,,,80.1,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
TNGX,--,17.0,85.6,8.0,87.8,,,,,,,,,,90.1,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
PLOW,XLI,19.0,85.4,144.0,76.5,,,,,,,,,,84.7,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
ANRO,XLI,19.0,85.4,103.0,78.6,,,,,,,,,,83.8,HEALTHY,none,3,"['ranker', 'ranker_long', 'pullback_health']",
