year,period,date,date_start,label,composite,momentum,spreads
2026,24,2026-03-05,2026-02-20,Mar 05,1.0,1.0,1.0
2001,16,2001-09-10,2001-08-28,Sep 10,0.6413,0.5327,0.75
2000,19,2000-10-20,2000-10-09,Oct 20,0.5839,0.5429,0.625
2000,10,2000-06-16,2000-06-05,Jun 16,0.5714,0.5428,0.6
2004,3,2004-03-12,2004-03-01,Mar 12,0.5643,0.5572,0.5714
2011,7,2011-05-06,2011-04-25,May 06,0.5597,0.5361,0.5833
2025,5,2025-04-09,2025-03-27,Apr 09,0.5523,0.5661,0.5385
2024,16,2024-09-10,2024-08-28,Sep 10,0.5491,0.5212,0.5769
2000,2,2000-02-25,2000-02-14,Feb 25,0.5432,0.4864,0.6
2004,12,2004-07-16,2004-07-05,Jul 16,0.5425,0.5135,0.5714
