ticker,price,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,ratio_1w_1d,ratio_1m_1w,ratio_3m_1m,ratio_6m_3m,ratio_1y_3m,ratio_passes,sma30,sma50,sma100,sma200,sma_all,vs_spy_1w,vs_spy_1m,vs_spy_1y,vs_qqq_1w,vs_qqq_1m,vs_qqq_1y,vs_iau_1w,vs_iau_1m,vs_iau_1y,bad_spy_score,top_pole,top_pole_corr,momentum_signal,momentum_flag,vol_ratio,vol_flag,pullback_flag,score_returns,score_ratios,score_spy_days,score,rank
TNGX,17.15,0.94,1.9,35.15,88.05,169.65,827.03,2.02,18.48,2.51,1.93,9.39,4,True,True,True,True,True,4.14,38.91,807.21,3.81,37.47,800.38,1.77,34.15,753.34,8.4028,,,0.09,clean,1.223,normal,none,96.08953613807982,98.34142394822007,99.75728155339806,98.1,1
RCAT,16.16,0.0,7.16,28.05,87.69,89.67,227.13,,3.92,3.13,1.02,2.59,4,True,True,True,True,True,9.4,31.82,207.31,9.08,30.37,200.48,7.03,27.06,153.44,2.8668,IAU,0.35,0.79,clean,2.239,confirmed,none,94.94336569579288,98.34142394822007,99.02912621359224,97.4,2
PARXF,18.88,3.68,15.19,23.0,47.5,52.75,116.51,4.13,1.51,2.07,1.11,2.45,4,True,True,True,True,True,17.43,26.76,96.7,17.11,25.32,89.87,15.06,22.0,42.83,1.2851,XLE,0.41,2.09,overextended,1.41,normal,none,93.93878101402373,98.34142394822007,97.168284789644,96.5,3
TYRA,36.0,-1.48,4.23,14.65,62.75,202.27,230.88,-2.86,3.47,4.28,3.22,3.68,4,True,True,True,True,True,6.47,18.41,211.07,6.14,16.97,204.24,4.09,13.66,157.19,0.9707,,,0.79,clean,1.313,normal,buy_today,90.45307443365697,98.34142394822007,96.19741100323624,95.0,4
MAZE,51.84,2.78,14.44,7.17,27.18,223.6,362.03,5.2,0.5,3.79,8.23,13.32,4,True,True,True,True,True,16.68,10.94,342.22,16.35,9.5,335.39,14.3,6.18,288.34,-0.1902,,,2.63,overextended,1.438,normal,none,95.02427184466019,98.34142394822007,86.32686084142395,93.2,5
LINC,37.28,1.14,3.73,38.54,70.7,96.21,140.67,3.27,10.34,1.83,1.36,1.99,3,True,True,True,True,True,5.97,42.3,120.86,5.64,40.86,114.03,3.59,37.54,66.98,2.3039,,,0.12,clean,1.021,normal,none,94.72761596548004,85.15372168284789,98.62459546925567,92.8,6
GPRE,16.19,2.99,4.38,9.91,62.88,67.25,216.21,1.47,2.26,6.34,1.07,3.44,3,True,True,True,True,True,6.62,13.68,196.4,6.3,12.24,189.57,4.25,8.92,142.52,2.236,XLE,0.41,1.08,clean,1.102,normal,none,94.74110032362461,85.15372168284789,98.46278317152104,92.8,6
CLMT,28.74,-1.17,-5.12,14.18,45.15,62.74,166.36,4.38,-2.77,3.18,1.39,3.68,4,True,True,True,True,True,-2.88,17.95,146.55,-3.2,16.51,139.71,-5.25,13.19,92.67,1.4619,,,-0.86,clean,1.134,normal,buy_today,77.19795037756204,98.34142394822007,97.81553398058253,91.1,8
PRE,20.78,1.07,37.89,-3.03,48.01,106.15,372.27,35.41,-0.08,-15.83,2.21,7.75,3,True,True,True,True,True,40.13,0.73,352.46,39.8,-0.71,345.63,37.75,-4.03,298.58,1.0504,,,-0.08,clean,1.222,normal,none,90.72276159654801,85.15372168284789,96.76375404530745,90.9,9
CENX,57.71,-0.62,7.07,11.07,90.34,157.98,218.66,-11.4,1.57,8.16,1.75,2.42,3,True,True,True,True,True,9.31,14.83,198.85,8.98,13.39,192.02,6.93,10.07,144.98,0.2775,XLK,0.46,0.54,clean,1.092,normal,buy_today,93.19714131607334,85.15372168284789,92.47572815533981,90.3,10
FUWAY,92.32,3.2,4.23,57.27,166.82,184.5,301.39,1.32,13.53,2.91,1.11,1.81,3,True,True,True,True,True,6.47,61.04,281.58,6.15,59.6,274.75,4.1,56.28,227.7,-0.2116,IAU,0.3,0.38,clean,,normal,none,97.83576051779936,85.15372168284789,85.43689320388349,89.5,11
UNF,272.88,-0.73,3.85,18.64,51.71,59.51,33.46,-5.27,4.84,2.77,1.15,0.65,3,True,True,True,True,True,6.09,22.4,13.65,5.76,20.96,6.82,3.72,17.65,-40.22,2.0873,,,0.34,clean,3.142,confirmed,none,84.95145631067962,85.15372168284789,98.38187702265373,89.5,11
LBRT,30.3,1.24,8.88,25.21,53.42,178.24,110.56,7.18,2.84,2.12,3.34,2.07,4,True,True,True,True,True,11.11,28.97,90.75,10.79,27.53,83.92,8.74,24.21,36.87,-0.8437,XLI,0.43,1.21,clean,1.087,normal,none,94.72761596548004,98.34142394822007,75.24271844660194,89.4,13
EQT,64.64,1.27,4.82,16.7,10.46,26.32,31.62,3.8,3.47,0.63,2.52,3.02,4,True,True,True,True,True,7.05,20.47,11.81,6.73,19.02,4.98,4.68,15.71,-42.07,-0.0304,XLE,0.32,1.1,clean,0.958,normal,none,80.19147788565265,98.34142394822007,88.75404530744336,89.1,14
