ticker,price,ret_1m,ret_3m,ret_6m,ret_1y,ret_5y,ret_10y,ratio_3m_1m,ratio_6m_3m,ratio_1y_6m,ratio_5y_1y,ratio_10y_5y,ratio_passes,sma30,sma50,sma100,sma200,sma_all,vs_spy_1y,vs_spy_5y,vs_spy_10y,vs_qqq_1y,vs_qqq_5y,vs_qqq_10y,vs_iau_1y,vs_iau_5y,vs_iau_10y,bad_spy_score,top_pole,top_pole_corr,momentum_signal,momentum_flag,vol_ratio,vol_flag,pullback_flag,strong_flag,score_returns,score_ratios,score_spy_days,history_depth,score_depth,score,rank
FTI,72.0,14.23,44.58,101.17,198.26,813.71,225.94,3.13,2.27,1.96,4.1,0.28,4,True,True,True,True,True,165.88,742.9,-14.17,157.38,724.15,-251.39,145.81,638.24,-57.81,-0.3946,XLE,0.44,0.66,clean,1.066,normal,none,strong_buy,87.5201378741898,95.55468135326515,82.29740361919748,6,100.0,91.8,1
EZPW,29.69,14.77,35.51,60.57,91.67,466.6,845.54,2.4,1.71,1.51,5.09,1.81,5,True,True,True,True,True,59.29,395.8,605.44,50.79,377.05,368.21,39.22,291.13,561.79,-0.5031,XLI,0.47,0.97,clean,0.86,normal,none,strong_buy,84.54535236596605,99.7639653815893,80.09441384736428,6,100.0,91.3,2
CENX,63.77,16.52,35.65,110.53,335.59,318.71,863.29,2.16,3.1,3.04,0.95,2.71,4,True,True,True,True,True,303.2,247.91,623.19,294.7,229.16,385.96,283.14,143.24,579.54,-0.7139,IAU,0.4,0.36,clean,1.036,normal,none,strong_buy,89.76808662095839,95.55468135326515,75.60975609756098,6,100.0,91.2,3
LINC,39.84,5.93,59.62,87.13,137.14,517.67,1539.51,10.05,1.46,1.57,3.77,2.97,4,True,True,True,True,True,104.76,446.87,1299.4,96.26,428.12,1062.17,84.69,342.21,1255.75,-0.0231,XLB,0.32,-0.22,clean,1.374,normal,none,strong_buy,77.35191637630662,95.55468135326515,90.32258064516128,6,100.0,90.4,4
TNGX,24.06,39.08,125.7,236.97,1750.77,112.92,,3.22,1.89,7.39,0.06,,3,True,True,True,True,True,1718.39,42.12,,1709.88,23.37,,1698.32,-62.55,,1.6333,,,0.16,clean,0.919,normal,none,none,95.42355100970364,75.13768686073958,98.7411487018096,5,83.33333333333334,88.4,5
EFXT,22.66,8.27,48.2,110.2,252.96,243.85,195.05,5.83,2.29,2.3,0.96,0.8,3,True,True,True,True,True,220.58,173.05,-45.05,212.07,154.3,-282.28,200.51,68.39,-88.7,0.1054,XLI,0.34,-0.1,clean,1.367,normal,none,strong_buy,81.57431343898693,75.13768686073958,92.13217938630999,6,100.0,87.9,6
FORM,128.28,42.66,75.44,236.34,389.06,158.21,1701.69,1.77,3.13,1.65,0.41,10.76,3,True,True,True,True,True,356.67,87.41,1461.58,348.17,68.66,1224.35,336.61,-17.26,1417.93,-0.8929,XLI,0.49,1.76,clean,1.226,normal,none,strong_buy,94.79225206998615,75.13768686073958,69.39417781274587,6,100.0,87.3,7
DAN,36.6,16.63,34.07,101.88,244.31,50.68,182.19,2.05,2.99,2.4,0.21,3.59,4,True,True,True,True,True,211.92,-20.12,-57.92,203.42,-38.88,-295.14,191.86,-124.79,-101.56,-1.0524,XLI,0.57,0.56,clean,0.727,thin,none,strong_buy,84.33929039751227,95.55468135326515,64.04405979543665,6,100.0,87.2,8
HWM,258.03,8.99,17.21,40.17,107.77,711.42,1170.38,1.91,2.33,2.68,6.6,1.65,4,True,True,True,True,True,75.39,640.61,930.28,66.89,621.86,693.05,55.32,535.95,886.63,-0.7074,XLI,0.72,0.34,clean,0.929,normal,none,strong_buy,75.32126934172568,95.55468135326515,75.84579071597167,6,100.0,86.9,9
MARUY,385.62,11.13,25.69,59.14,167.35,356.79,730.44,2.31,2.3,2.83,2.13,2.05,5,True,True,True,True,True,134.96,285.99,490.33,126.46,267.23,253.1,114.9,181.32,446.68,-1.0977,VXUS,0.57,0.44,clean,0.708,thin,none,strong_buy,81.8571803229553,99.7639653815893,61.762391817466565,6,100.0,86.9,9
MTZ,365.89,26.17,63.56,87.06,218.0,276.62,1774.44,2.43,1.37,2.5,1.27,6.41,3,True,True,True,True,True,185.62,205.82,1534.33,177.11,187.07,1297.1,165.55,101.16,1490.68,-0.9176,XLI,0.62,1.71,clean,0.97,normal,none,strong_buy,92.59675546064216,75.13768686073958,68.56805664830841,6,100.0,86.5,11
ESP,61.55,6.12,29.2,61.21,140.71,284.69,150.2,4.77,2.1,2.3,2.02,0.53,4,True,True,True,True,True,108.33,213.89,-89.9,99.83,195.13,-327.13,88.26,109.22,-133.55,-0.624,,,-0.08,clean,0.801,normal,none,strong_buy,72.48510733955266,95.55468135326515,77.73406766325728,6,100.0,86.4,12
TERN,52.68,13.24,54.44,546.38,2361.68,188.5,,4.11,10.04,4.32,0.08,,3,True,True,True,True,True,2329.3,117.7,,2320.8,98.95,,2309.23,13.03,,0.278,,,-0.37,clean,2.526,confirmed,none,none,90.57547487917275,75.13768686073958,94.3351691581432,5,83.33333333333334,86.1,13
