ticker,name,sr_score,sr_total,hist_agree,ret_3d,ret_5d,ret_10d,ret_1m,ret_3m,mom_3m,mom_1m,mom_10d,mom_5d,pred_3d_avg,pred_3d_winrate,pred_3d_n,pred_5d_avg,pred_5d_winrate,pred_5d_n,pred_10d_avg,pred_10d_winrate,pred_10d_n
AAXJ,Asia ex-Jpn,3.0,10,bullish,2.27,-1.11,-2.68,-8.05,6.54,-0.27,-2.0,-1.04,-0.6,,,66.0,,,66.0,,,66.0
ACWI,ACWI,3.0,10,bullish,1.98,-0.33,-2.59,-5.49,-1.76,-1.18,-1.88,-1.2,-0.31,,,69.0,,,69.0,,,69.0
ACWX,ACWX,3.0,10,bullish,3.09,-0.25,-2.56,-7.65,2.52,-1.19,-2.0,-1.09,-0.26,,,69.0,,,69.0,,,69.0
AFK,Africa,0.0,10,bearish,4.19,-0.93,-4.65,-15.11,-3.25,-2.0,-2.0,-1.38,-0.49,,,66.0,,,66.0,,,66.0
AGF,AGF,0.0,10,bearish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.06,,,52.0,,,52.0,,,52.0
AGG,Agg Bond,0.1,10,bullish,0.51,-0.22,-0.5,-1.91,-0.64,-1.11,-2.0,-0.71,-0.39,,,87.0,,,87.0,,,87.0
AIA,AIA,3.0,10,bullish,2.62,-1.42,-2.29,-7.05,14.76,0.48,-1.58,-0.8,-0.61,,,69.0,,,69.0,,,69.0
AIQ,AIQ,3.3,10,bullish,1.13,-1.97,-4.04,-3.2,-6.36,-1.23,-0.83,-1.14,-0.74,,,35.0,,,35.0,,,35.0
AIRR,AIRR,3.6,10,bullish,5.24,2.75,0.98,-5.57,11.45,0.04,-1.67,-0.22,0.57,,,41.0,,,41.0,,,41.0
ALAI,ALAI,0.0,10,,1.34,-1.48,-2.85,-3.16,-8.51,-1.01,-0.79,-0.88,-0.6,,,,,,,,,
AMG,AMG,0.0,10,bearish,0.51,1.43,-0.89,-7.47,-2.81,-1.32,-1.69,-0.58,0.08,,,100.0,,,100.0,,,100.0
APIE,APIE,3.2,10,bullish,3.48,0.25,-3.01,-8.5,-3.36,-2.0,-2.0,-1.08,-0.0,,,9.0,,,9.0,,,9.0
APO,APO,6.4,10,bullish,-0.87,-0.15,4.65,-2.72,-25.43,-1.56,-0.12,0.76,0.04,,,51.0,,,51.0,,,51.0
ARES,ARES,5.4,10,bullish,0.89,0.79,3.24,-8.84,-37.28,-1.78,-0.54,0.51,0.22,,,41.0,,,41.0,,,41.0
ARGT,ARGT,3.6,10,bullish,4.1,2.75,-0.8,-5.67,-2.84,-0.42,-0.63,-0.16,0.42,,,51.0,,,51.0,,,51.0
ARKF,ARKF,3.0,10,bullish,-0.84,-3.61,-5.2,4.53,-21.36,-1.05,0.25,-0.82,-0.78,,,32.0,,,32.0,,,32.0
ARKG,ARKG,3.0,10,bullish,4.07,2.92,-2.02,-8.13,-11.46,-1.1,-1.02,-0.38,0.45,,,41.0,,,41.0,,,41.0
ARKK,ARKK,3.3,10,bullish,1.31,-1.9,-4.13,-2.8,-14.03,-0.95,-0.54,-0.77,-0.5,,,41.0,,,41.0,,,41.0
ARKQ,ARKQ,3.5,10,bullish,3.54,-0.19,-2.24,-4.84,-1.07,-0.87,-1.04,-0.72,-0.29,,,41.0,,,41.0,,,41.0
ARKW,ARKW,3.0,10,bullish,2.05,-1.33,-2.77,3.89,-18.52,-0.99,0.1,-0.56,-0.38,,,41.0,,,41.0,,,41.0
ARKX,ARKX,3.0,10,bullish,2.87,-0.78,-1.98,-4.3,2.77,-0.69,-0.93,-0.65,-0.4,,,24.0,,,24.0,,,24.0
ARTY,ARTY,3.6,10,bullish,2.24,-1.69,-2.22,-4.42,1.37,-0.49,-0.97,-0.72,-0.62,,,35.0,,,35.0,,,35.0
ASEA,ASEA,3.4,10,bullish,2.58,0.88,0.72,-5.02,3.72,-0.32,-1.72,-0.06,0.19,,,51.0,,,51.0,,,51.0
