target_date,section,similar_date,score,event,fwd_5d,fwd_10d,fwd_21d
2026-03-30,25Y_broad,2026-03-27,0.9419,,,,
2026-03-30,25Y_broad,2026-03-26,0.8728,,,,
2026-03-30,25Y_broad,2026-03-25,0.8146,,,,
2026-03-30,25Y_broad,2026-03-24,0.7986,,,,
2026-03-30,25Y_broad,2026-03-20,0.7561,,,,
2026-03-30,25Y_broad,2026-03-23,0.7428,,,,
2026-03-30,25Y_broad,2026-03-18,0.7243,,,,
2026-03-30,25Y_broad,2026-03-13,0.6872,,,,
2026-03-30,25Y_broad,2026-03-19,0.6755,,,,
2026-03-30,25Y_broad,2022-05-09,0.664,,,,
2026-03-30,25Y_broad,2022-05-12,0.6623,,,,
2026-03-30,25Y_broad,2026-03-12,0.6495,,,,
2026-03-30,25Y_broad,2025-01-13,0.6388,,,,
2026-03-30,25Y_broad,2022-05-13,0.6369,,,,
2026-03-30,25Y_broad,2025-01-02,0.6344,,,,
2026-03-30,25Y_broad,2026-03-17,0.6339,,,,
2026-03-30,25Y_broad,2026-03-16,0.6333,,,,
2026-03-30,25Y_broad,2023-10-13,0.6191,,,,
2026-03-30,25Y_broad,2022-05-16,0.6148,,,,
2026-03-30,25Y_broad,2022-05-06,0.6137,,,,
2026-03-30,25Y_broad,2021-10-01,0.613,,,,
2026-03-30,25Y_broad,2025-01-10,0.6096,,,,
2026-03-30,25Y_broad,2024-12-31,0.6071,,,,
2026-03-30,25Y_broad,2021-10-05,0.6064,,,,
2026-03-30,25Y_broad,2004-05-17,0.6036,,,,
2026-03-30,25Y_broad,2021-10-06,0.6018,,,,
2026-03-30,25Y_broad,2022-05-02,0.5993,,,,
2026-03-30,25Y_broad,2020-03-20,0.5977,,,,
2026-03-30,25Y_broad,2022-04-29,0.5967,,,,
2026-03-30,25Y_broad,2004-05-06,0.593,,,,
2026-03-30,25Y_broad,2021-09-30,0.5899,,,,
2026-03-30,25Y_broad,2022-05-05,0.5889,,,,
2026-03-30,25Y_broad,2020-03-18,0.5886,,,,
2026-03-30,25Y_broad,2008-07-02,0.5884,,,,
2026-03-30,25Y_broad,2021-09-29,0.5873,,,,
2026-03-30,25Y_broad,2004-05-18,0.5853,,,,
2026-03-30,25Y_broad,2008-06-30,0.5841,,,,
2026-03-30,25Y_broad,2014-09-30,0.5815,,,,
2026-03-30,25Y_broad,2022-05-11,0.5814,,,,
2026-03-30,25Y_broad,2025-01-14,0.581,,,,
2026-03-30,25Y_broad,2020-03-19,0.5778,,,,
2026-03-30,25Y_broad,2008-07-03,0.577,,,,
2026-03-30,25Y_broad,2013-06-24,0.5765,,,,
