ticker,price,sma29,extension_pct,extension_label,extension_score,extension_pf,extension_fwd,sma10,ext10_pct,exit_alert,exit_pf,exit_fwd,slope_rsq,slope_ann,momentum_score,momentum_rank,momentum_flag,health_score,health_verdict,dd_pct,stage,stage_name,ret_1w,ret_1m,ret_3m,top_pole,asset_class,asset_class_label,combined_score
SHLD,77.03,74.71,3.1,OPTIMAL,95,1.48,0.9,76.16,1.14,,,,0.672,90.3,80.9,30.0,clean,93.4,HEALTHY,-1.9,2,Sustained Uptrend,0.31,5.72,22.6,XLI,equity,Equity,89.6
TYRA,34.41,31.89,7.89,OPTIMAL,90,1.5,1.11,33.95,1.35,,,,0.668,229.5,89.7,7.0,clean,88.2,HEALTHY,-4.3,3,Parabolic,4.24,11.0,60.05,,equity,Equity,89.4
CW,706.99,680.07,3.96,OPTIMAL,95,1.48,0.9,701.59,0.77,,,,0.421,90.7,84.7,14.0,clean,88.1,HEALTHY,-3.2,3,Parabolic,0.71,8.88,29.82,XLI,equity,Equity,89.3
AEP,132.91,126.78,4.84,OPTIMAL,95,1.48,0.9,132.58,0.25,,,,0.659,106.6,81.6,25.0,clean,90.3,HEALTHY,-1.3,2,Sustained Uptrend,0.75,10.02,13.08,XLU,equity,Equity,88.9
RAAX,41.26,40.22,2.56,OPTIMAL,95,1.48,0.12,41.21,0.1,,,,0.629,53.5,81.0,29.0,clean,88.5,HEALTHY,-1.9,2,Sustained Uptrend,0.57,4.97,15.72,IAU,miner,Miner,88.2
DLR,180.82,174.54,3.6,OPTIMAL,95,1.48,0.9,178.9,1.07,,,,0.273,32.9,77.1,45.0,clean,92.7,HEALTHY,-2.1,2,Sustained Uptrend,1.51,5.36,9.77,XLRE,sector,Sector,88.0
NTR,76.34,72.05,5.96,OPTIMAL,90,1.5,1.11,74.72,2.16,,,,0.767,104.5,87.2,12.0,clean,86.2,HEALTHY,-2.2,3,Parabolic,2.58,11.27,26.52,XLE,sector,Sector,87.9
TJX,161.56,155.81,3.69,OPTIMAL,95,1.48,0.9,159.75,1.13,,,,0.677,64.0,79.4,36.0,clean,89.1,HEALTHY,-0.7,2,Sustained Uptrend,1.17,3.66,5.4,,equity,Equity,87.8
LBRT,28.25,26.3,7.4,OPTIMAL,90,1.5,1.11,27.88,1.31,,,,0.628,162.5,80.8,32.0,clean,93.2,HEALTHY,-2.4,3,Parabolic,1.49,11.95,44.85,XLI,commodity,Commodity,87.7
RTX,207.45,201.61,2.9,OPTIMAL,95,1.48,0.9,205.3,1.05,,,,0.516,73.9,83.3,17.0,clean,84.0,HEALTHY,-3.3,2,Sustained Uptrend,0.45,4.42,21.24,XLI,equity,Equity,87.6
