ticker,price,sma29,extension_pct,extension_label,extension_score,extension_pf,extension_fwd,sma10,ext10_pct,exit_alert,exit_pf,exit_fwd,slope_rsq,slope_ann,momentum_score,momentum_rank,momentum_flag,health_score,health_verdict,dd_pct,stage,stage_name,ret_1w,ret_1m,ret_3m,top_pole,asset_class,asset_class_label,pole_id,is_noise_pole,gold_filtered,combined_score
HCA,546.34,525.59,3.95,OPTIMAL,95,1.48,0.9,538.25,1.5,,,,0.173,18.4,86.6,27.0,clean,96.2,HEALTHY,-1.8,2,Sustained Uptrend,2.22,8.85,11.84,,bond,Bond,4.0,False,False,92.4
AA,66.22,61.06,8.45,OPTIMAL,90,1.5,1.11,62.54,5.88,,,,0.215,67.4,95.4,5.0,clean,90.8,HEALTHY,-3.2,3,Parabolic,9.66,7.21,52.32,XLK,commodity,Commodity,45.0,False,False,92.1
SHLD,76.14,74.65,2.0,OPTIMAL,95,1.48,0.9,76.53,-0.5,,,,0.674,89.5,88.0,22.0,clean,89.7,HEALTHY,-3.0,2,Sustained Uptrend,1.53,4.42,18.68,XLI,equity,Equity,11.0,False,False,91.0
TYRA,35.16,32.16,9.3,OPTIMAL,90,1.5,1.11,34.31,2.48,,,,0.764,262.2,92.7,7.0,clean,90.2,HEALTHY,-3.4,3,Parabolic,1.78,11.96,58.93,,equity,Equity,7.0,False,False,91.0
RAAX,41.4,40.3,2.72,OPTIMAL,95,1.48,0.12,41.28,0.28,,,,0.586,50.0,86.8,25.0,clean,89.6,HEALTHY,-1.5,2,Sustained Uptrend,0.95,3.58,17.11,IAU,miner,Miner,5.0,False,False,90.5
EQIX,979.07,912.43,7.3,OPTIMAL,90,1.5,1.11,962.65,1.71,,,,0.375,71.3,84.6,34.0,clean,97.2,HEALTHY,-1.4,2,Sustained Uptrend,2.74,14.28,32.19,XLU,sector,Sector,14.0,False,False,90.3
PWR,570.2,534.77,6.63,OPTIMAL,90,1.5,1.11,563.16,1.25,,,,0.561,107.6,88.5,19.0,clean,92.8,HEALTHY,-1.1,3,Parabolic,3.82,11.66,24.51,XLK,index,Index,1.0,False,False,90.3
MAZE,50.75,46.35,9.49,OPTIMAL,90,1.5,1.11,46.74,8.59,,,,0.119,54.0,93.3,6.0,overextended,86.0,HEALTHY,-0.6,3,Parabolic,12.03,4.92,24.51,,equity,Equity,7.0,False,False,90.0
VTR,86.46,84.35,2.51,OPTIMAL,95,1.48,0.9,86.04,0.48,,,,0.018,3.8,81.8,47.0,clean,92.0,HEALTHY,-1.6,2,Sustained Uptrend,1.77,3.05,8.06,XLRE,sector,Sector,14.0,False,False,89.5
EQT,64.56,59.07,9.3,OPTIMAL,90,1.5,1.11,62.15,3.87,,,,0.878,130.6,84.9,33.0,clean,91.8,HEALTHY,-0.2,2,Sustained Uptrend,4.69,16.56,10.32,XLE,equity,Equity,19.0,False,False,88.8
VDE,163.32,154.09,6.0,OPTIMAL,90,1.5,1.11,159.63,2.32,,,,0.788,74.2,85.9,31.0,clean,88.0,HEALTHY,-0.4,3,Parabolic,2.36,8.29,26.45,XLE,commodity,Commodity,9.0,False,False,88.0
XLE,57.97,54.69,6.0,OPTIMAL,90,1.5,1.11,56.56,2.49,,,,0.758,68.4,86.1,29.0,clean,88.0,HEALTHY,-0.4,3,Parabolic,2.62,8.19,26.85,XLE,commodity,Commodity,9.0,False,False,88.0
OKE,86.63,83.92,3.23,OPTIMAL,95,1.48,0.9,85.39,1.45,,,,0.0,0.6,80.7,54.0,clean,87.0,HEALTHY,-2.7,3,Parabolic,1.2,3.8,15.57,XLE,index,Index,10.0,False,False,87.6
WMB,74.89,71.93,4.11,OPTIMAL,95,1.48,0.9,74.75,0.19,,,,0.534,60.6,83.1,41.0,clean,84.0,HEALTHY,-2.6,3,Parabolic,0.16,8.79,21.67,XLE,bond,Bond,4.0,False,False,87.5
JNJ,243.74,241.02,1.13,OPTIMAL,95,1.48,0.9,244.21,-0.19,,,,0.013,4.9,89.2,14.0,clean,74.7,CAUTION,-3.2,3,Parabolic,1.72,2.26,21.89,XLP,equity,Equity,7.0,False,False,86.9
DLR,179.93,175.62,2.45,OPTIMAL,95,1.48,0.9,179.52,0.23,,,,0.169,21.3,72.8,105.0,clean,92.8,HEALTHY,-2.6,2,Sustained Uptrend,0.1,4.29,10.55,SPY,sector,Sector,14.0,False,False,86.6
AEP,133.54,127.75,4.53,OPTIMAL,95,1.48,0.9,132.61,0.7,,,,0.527,65.2,73.4,96.0,clean,91.7,HEALTHY,-0.8,2,Sustained Uptrend,1.14,10.15,15.05,XLU,equity,Equity,2.0,False,False,86.5
TTE,81.21,77.26,5.11,OPTIMAL,90,1.5,1.11,79.51,2.13,,,,0.489,57.8,83.6,35.0,clean,85.4,HEALTHY,-1.2,3,Parabolic,5.43,8.82,23.91,XLE,index,Index,1.0,False,False,86.4
MPLX,59.2,57.18,3.53,OPTIMAL,95,1.48,0.9,58.76,0.74,,,,0.56,60.8,71.3,112.0,clean,93.4,HEALTHY,-1.1,2,Sustained Uptrend,0.91,6.89,7.24,XLRE,bond,Bond,4.0,False,False,86.2
SII,160.04,141.45,13.14,GOOD,90,1.52,2.55,162.5,-1.51,,,,0.738,445.8,86.2,28.0,clean,81.7,HEALTHY,-5.7,3,Parabolic,0.26,31.22,67.73,IAU,miner,Miner,5.0,False,False,86.2
FPLSF,21.35,20.63,3.51,OPTIMAL,95,1.48,0.9,21.57,-1.04,,,,0.331,105.9,83.4,38.0,clean,78.8,CAUTION,-7.3,3,Parabolic,2.15,6.32,55.5,XLF,index,Index,28.0,False,False,86.1
HOLX,75.38,75.21,0.22,OPTIMAL,95,1.48,0.9,75.53,-0.2,,,,0.602,9.4,81.8,47.0,clean,80.7,HEALTHY,-0.5,1,Basing,-0.5,0.3,0.65,,equity,Equity,7.0,False,False,86.1
BP,42.24,38.61,9.42,OPTIMAL,90,1.5,1.11,40.0,5.62,,,,0.808,130.3,76.9,80.0,clean,91.9,HEALTHY,-0.5,2,Sustained Uptrend,7.49,14.27,18.83,XLE,commodity,Commodity,9.0,False,False,86.0
DUK,132.86,126.83,4.76,OPTIMAL,95,1.48,0.9,131.41,1.11,,,,0.78,73.3,72.2,106.0,clean,91.7,HEALTHY,-0.3,2,Sustained Uptrend,0.95,7.5,15.29,XLU,equity,Equity,2.0,False,False,86.0
FIVE,220.47,212.61,3.69,OPTIMAL,95,1.48,0.9,220.87,-0.18,,,,0.456,83.2,77.0,79.0,clean,85.8,HEALTHY,-3.9,3,Parabolic,-0.53,6.67,25.74,SPY,equity,Equity,37.0,False,False,85.9
KMI,33.76,32.23,4.75,OPTIMAL,95,1.48,0.9,33.53,0.69,,,,0.704,73.8,74.7,90.0,clean,88.3,HEALTHY,-1.4,3,Parabolic,1.11,8.87,23.57,XLE,bond,Bond,4.0,False,False,85.9
DVA,155.44,146.24,6.29,OPTIMAL,90,1.5,1.11,153.31,1.39,,,,0.52,56.2,82.5,43.0,clean,84.8,HEALTHY,-2.5,3,Parabolic,3.66,11.6,33.23,XLP,equity,Equity,7.0,False,False,85.8
DBB,24.54,23.95,2.46,OPTIMAL,95,1.48,0.9,24.23,1.27,,,,0.57,47.3,86.8,25.0,clean,73.2,CAUTION,-5.7,2,Sustained Uptrend,2.68,2.81,11.24,IAU,commodity,Commodity,45.0,False,False,85.6
ES,74.16,72.29,2.58,OPTIMAL,95,1.48,0.9,74.48,-0.43,,,,0.318,47.5,82.1,45.0,clean,78.8,CAUTION,-3.0,2,Sustained Uptrend,0.39,7.01,9.32,XLU,equity,Equity,2.0,False,False,85.6
EVRG,82.14,80.84,1.61,OPTIMAL,95,1.48,0.9,83.16,-1.22,,,,0.315,41.7,81.8,47.0,clean,78.7,CAUTION,-3.6,2,Sustained Uptrend,-0.92,4.3,11.76,XLU,equity,Equity,2.0,False,False,85.5
DOCN,68.08,60.78,12.01,GOOD,75,1.52,1.24,58.43,16.51,EXIT WATCH,1.59,0.49,0.153,-145.1,92.5,8.0,overextended,89.2,HEALTHY,-3.3,3,Parabolic,26.46,6.23,36.92,XLK,equity,Equity,27.0,False,False,85.4
CTRA,31.95,30.67,4.16,OPTIMAL,95,1.48,0.9,31.09,2.75,,,,0.0,-1.6,72.2,106.0,clean,89.2,HEALTHY,-2.2,2,Sustained Uptrend,2.57,4.55,18.95,XLE,commodity,Commodity,9.0,False,False,85.3
VAL,92.98,84.83,9.61,OPTIMAL,90,1.5,1.11,91.98,1.09,,,,0.001,4.0,81.5,51.0,clean,84.1,HEALTHY,-9.0,3,Parabolic,2.64,16.5,57.67,VXUS,equity,Equity,,False,False,85.3
MTZ,301.63,276.58,9.06,OPTIMAL,90,1.5,1.11,298.95,0.89,,,,0.788,181.1,81.2,52.0,clean,84.3,HEALTHY,-2.8,3,Parabolic,2.14,15.39,36.87,XLI,index,Index,3.0,False,False,85.2
TRV,303.23,300.91,0.77,OPTIMAL,95,1.48,0.9,306.46,-1.05,,,,0.266,32.9,78.3,72.0,clean,81.7,HEALTHY,-3.2,2,Sustained Uptrend,-1.11,1.55,8.62,,index,Index,10.0,False,False,85.2
FNV,263.67,256.13,2.95,OPTIMAL,95,1.48,0.12,265.4,-0.65,,,,0.156,65.3,83.5,37.0,clean,75.4,CAUTION,-7.7,3,Parabolic,3.26,3.4,29.93,IAU,miner,Miner,5.0,False,False,85.1
KDEF,59.51,58.64,1.48,OPTIMAL,95,1.48,0.9,61.31,-2.95,,,,0.477,129.3,92.1,10.0,stalling,64.9,CAUTION,-11.7,3,Parabolic,2.15,8.11,34.78,,index,Index,28.0,False,False,85.0
CTRE,40.34,39.51,2.09,OPTIMAL,95,1.48,0.9,40.03,0.76,,,,0.017,-7.2,73.1,101.0,clean,87.0,HEALTHY,-3.3,2,Sustained Uptrend,2.46,4.13,7.6,,sector,Sector,14.0,False,False,84.9
EXC,49.76,46.98,5.92,OPTIMAL,90,1.5,1.11,49.15,1.24,,,,0.661,89.3,73.0,102.0,clean,92.7,HEALTHY,-0.2,2,Sustained Uptrend,2.03,11.47,13.71,XLU,equity,Equity,2.0,False,False,84.9
NEE,92.19,91.16,1.13,OPTIMAL,95,1.48,0.9,92.16,0.03,,,,0.002,2.5,82.8,42.0,clean,75.5,CAUTION,-3.9,2,Sustained Uptrend,1.16,1.5,15.76,XLU,equity,Equity,2.0,False,False,84.9
