ticker,price,sma29,extension_pct,extension_label,extension_score,extension_pf,extension_fwd,sma10,ext10_pct,exit_alert,exit_pf,exit_fwd,slope_rsq,slope_ann,momentum_score,momentum_rank,momentum_flag,health_score,health_verdict,dd_pct,stage,stage_name,ret_1w,ret_1m,ret_3m,top_pole,asset_class,asset_class_label,pole_id,is_noise_pole,gold_filtered,path_quality,combined_score
HCA,540.94,526.93,2.66,OPTIMAL,95,1.48,0.9,538.0,0.55,,,,0.075,11.3,82.4,23.0,clean,93.3,HEALTHY,-2.8,2,Sustained Uptrend,1.53,1.78,15.41,,bond,Bond,4.0,False,False,"{'grade': 'SMOOTH', 'median_mae': -1.18, 'median_ttg': 2.0, 'prob_good': 50.9, 'prob_bad': 37.7}",90.1
CTRE,40.84,39.62,3.1,OPTIMAL,95,1.48,0.9,40.01,2.09,,,,0.057,-12.7,83.6,18.0,clean,91.8,HEALTHY,-2.1,2,Sustained Uptrend,2.27,3.69,10.96,TLT,sector,Sector,14.0,False,False,"{'grade': 'OK', 'median_mae': -3.14, 'median_ttg': 1.0, 'prob_good': 36.4, 'prob_bad': 36.4}",90.0
VTR,87.06,84.66,2.84,OPTIMAL,95,1.48,0.9,86.11,1.11,,,,0.035,5.6,79.4,37.0,clean,93.0,HEALTHY,-0.9,2,Sustained Uptrend,2.59,1.6,12.01,XLRE,sector,Sector,14.0,False,False,"{'grade': 'OK', 'median_mae': -3.14, 'median_ttg': 1.0, 'prob_good': 36.4, 'prob_bad': 36.4}",88.9
AA,66.89,61.38,8.99,OPTIMAL,90,1.5,1.11,63.06,6.08,,,,0.417,107.7,85.7,13.0,clean,90.9,HEALTHY,-2.2,3,Parabolic,12.14,5.92,49.84,XLK,commodity,Commodity,45.0,False,False,"{'grade': 'CHOPPY', 'median_mae': -8.52, 'median_ttg': 4.0, 'prob_good': 16.3, 'prob_bad': 70.0}",88.8
XOP,167.39,152.26,9.94,OPTIMAL,90,1.5,1.11,162.69,2.89,,,,0.882,183.6,82.1,26.0,clean,91.5,HEALTHY,-0.9,2,Sustained Uptrend,1.99,12.3,23.79,XLE,commodity,Commodity,9.0,False,False,"{'grade': 'CHOPPY', 'median_mae': -8.52, 'median_ttg': 4.0, 'prob_good': 16.3, 'prob_bad': 70.0}",87.7
VPU,203.41,198.15,2.66,OPTIMAL,95,1.48,0.9,202.22,0.59,,,,0.117,16.8,78.6,40.0,clean,89.2,HEALTHY,-1.3,2,Sustained Uptrend,0.9,5.27,9.68,XLU,equity,Equity,2.0,False,False,"{'grade': 'OK', 'median_mae': -4.25, 'median_ttg': 2.0, 'prob_good': 34.1, 'prob_bad': 46.1}",87.5
XLU,47.17,45.81,2.96,OPTIMAL,95,1.48,0.9,46.86,0.66,,,,0.174,22.2,79.2,38.0,clean,88.4,HEALTHY,-1.3,2,Sustained Uptrend,0.92,5.79,10.39,XLU,equity,Equity,2.0,False,False,"{'grade': 'OK', 'median_mae': -4.25, 'median_ttg': 2.0, 'prob_good': 34.1, 'prob_bad': 46.1}",87.5
ROIV,29.08,27.22,6.83,OPTIMAL,90,1.5,1.11,29.04,0.12,,,,0.734,124.9,86.4,10.0,clean,85.4,HEALTHY,-4.1,3,Parabolic,1.03,8.49,43.66,XLK,equity,Equity,7.0,False,False,"{'grade': 'CHOPPY', 'median_mae': -6.4, 'median_ttg': 2.0, 'prob_good': 15.5, 'prob_bad': 67.2}",87.4
COP,120.97,111.7,8.3,OPTIMAL,90,1.5,1.11,117.57,2.89,,,,0.758,122.7,82.8,21.0,clean,89.2,HEALTHY,-1.2,3,Parabolic,3.33,8.78,24.97,XLE,commodity,Commodity,9.0,False,False,"{'grade': 'CHOPPY', 'median_mae': -8.52, 'median_ttg': 4.0, 'prob_good': 16.3, 'prob_bad': 70.0}",87.2
MNMD,18.01,17.44,3.29,OPTIMAL,95,1.48,0.9,17.99,0.13,,,,0.696,142.8,86.0,12.0,clean,79.1,CAUTION,-8.2,3,Parabolic,1.98,3.8,45.48,,commodity,Commodity,35.0,False,False,"{'grade': 'OK', 'median_mae': -4.67, 'median_ttg': 2.0, 'prob_good': 30.1, 'prob_bad': 50.7}",87.1
PWR,570.89,537.91,6.13,OPTIMAL,90,1.5,1.11,563.4,1.33,,,,0.509,97.7,78.9,39.0,clean,92.9,HEALTHY,-1.0,3,Parabolic,5.68,8.96,23.51,XLK,index,Index,1.0,False,False,"{'grade': 'CHOPPY', 'median_mae': -5.5, 'median_ttg': 3.0, 'prob_good': 19.5, 'prob_bad': 61.9}",87.0
