ticker,price,sma29,extension_pct,extension_label,extension_score,extension_pf,extension_fwd,sma10,ext10_pct,exit_alert,exit_pf,exit_fwd,slope_rsq,slope_ann,momentum_score,momentum_rank,momentum_flag,potential_score,health_verdict,dd_pct,stage,stage_name,ret_1w,ret_1m,ret_3m,top_pole,asset_class,asset_class_label,pole_id,is_noise_pole,gold_filtered,path_quality,combined_score
AXSM,252.16,234.72,7.43,OPTIMAL,90,1.5,1.11,245.73,2.62,,,,0.626,133.1,92.1,4.0,clean,65.5,WARNING,-16.8,3.0,Parabolic,2.36,10.89,59.73,XLV,equity,Equity,7.0,True,False,"{'grade': 'OK', 'median_mae': -3.77, 'median_ttg': 2.0, 'prob_good': 32.1, 'prob_bad': 44.8}",83.4
MIRM,102.04,99.43,2.63,OPTIMAL,95,1.48,0.9,97.25,4.92,,,,0.015,17.6,81.8,42.0,clean,66.9,WARNING,-16.9,3.0,Parabolic,8.55,6.86,11.32,HYG,equity,Equity,7.0,True,False,"{'grade': 'OK', 'median_mae': -3.23, 'median_ttg': 1.0, 'prob_good': 37.2, 'prob_bad': 40.0}",81.9
BELFA,265.66,248.75,6.8,OPTIMAL,90,1.5,1.11,253.48,4.81,,,,0.478,133.5,85.3,24.0,clean,65.5,WARNING,-20.6,3.0,Parabolic,8.22,13.29,38.11,QQQ,index,Index,42.0,False,False,"{'grade': 'OK', 'median_mae': -3.78, 'median_ttg': 2.0, 'prob_good': 34.1, 'prob_bad': 44.2}",81.0
ARWR,81.04,75.84,6.85,OPTIMAL,90,1.5,1.11,74.98,8.08,,,,0.003,-8.7,78.1,68.0,clean,72.3,WARNING,-24.9,3.0,Parabolic,14.58,9.59,42.9,XLY,equity,Equity,7.0,True,False,"{'grade': 'OK', 'median_mae': -3.77, 'median_ttg': 2.0, 'prob_good': 32.1, 'prob_bad': 44.8}",80.5
PGNY,26.31,24.88,5.74,OPTIMAL,90,1.5,1.11,26.11,0.77,,,,0.627,79.9,63.6,267.0,clean,88.2,BREAKDOWN,-39.4,0.0,Deep Decline,1.62,9.4,47.23,,bond,Bond,20.0,False,False,"{'grade': 'OK', 'median_mae': -3.05, 'median_ttg': 1.0, 'prob_good': 38.5, 'prob_bad': 36.4}",80.2
TROW,108.12,103.66,4.31,OPTIMAL,95,1.48,0.9,106.54,1.48,,,,0.894,97.6,62.5,293.0,clean,83.5,BREAKDOWN,-18.9,1.0,Basing,1.59,5.61,23.55,VGK,equity,Equity,19.0,False,False,"{'grade': 'OK', 'median_mae': -2.92, 'median_ttg': 2.0, 'prob_good': 38.1, 'prob_bad': 37.4}",80.2
AXGN,44.57,41.62,7.09,OPTIMAL,90,1.5,1.11,42.79,4.15,,,,0.256,77.0,87.0,18.0,clean,59.5,WARNING,-14.0,3.0,Parabolic,7.81,6.25,44.05,XLV,equity,Equity,7.0,True,False,"{'grade': 'OK', 'median_mae': -3.77, 'median_ttg': 2.0, 'prob_good': 32.1, 'prob_bad': 44.8}",79.8
AGX,719.52,669.31,7.5,OPTIMAL,90,1.5,1.11,657.11,9.5,,,,0.018,27.1,94.9,2.0,clean,50.0,,,,,22.18,8.24,53.15,IAU,equity,Equity,,False,False,"{'grade': 'OK', 'median_mae': -3.78, 'median_ttg': 2.0, 'prob_good': 34.1, 'prob_bad': 44.2}",79.7
APO,138.91,131.21,5.87,OPTIMAL,90,1.5,1.11,132.91,4.51,,,,0.307,63.2,59.8,352.0,clean,89.2,BREAKDOWN,-31.5,0.0,Deep Decline,5.92,3.61,24.92,XLF,bond,Bond,20.0,False,False,"{'grade': 'OK', 'median_mae': -3.05, 'median_ttg': 1.0, 'prob_good': 38.5, 'prob_bad': 36.4}",79.2
BNS,86.37,80.11,7.81,OPTIMAL,90,1.5,1.11,82.94,4.14,,,,0.797,101.8,81.5,45.0,clean,63.7,WARNING,-8.7,2.0,Sustained Uptrend,5.9,11.79,23.76,VGK,index,Index,1.0,False,False,"{'grade': 'OK', 'median_mae': -3.47, 'median_ttg': 2.0, 'prob_good': 36.8, 'prob_bad': 43.5}",79.1
