symbol,company_name,sector,sector_etf,market_cap,price,pattern_1_ret5d,pattern_2_ret20d,pattern_3_ret60d,pattern_4_volume,pattern_5_rs_etf,pattern_6_rsi,pattern_7_adx,pattern_8_ma,pattern_9_sector,total_score,max_score,ret_5d,ret_20d,ret_60d,rsi,adx,sector_rank_5d,sector_rank_20d,sector_rank_60d,sector_leadership_rank,vol_increase_pct,rs_vs_etf,pct_above_ma50,pct_above_ma200,scan_date,is_metals
SBSW,Sibanye Stillwater Limited,Basic Materials,XLB,10890607548.0,20.06,1,1,1,1,1,1,1,0,1,8,9,15.420023014959728,41.26760563380281,83.6996336996337,77.5611343325547,39.98621994815372,2,3,4,2,29.3565957407981,31.997819888284678,,,2026-01-27,1
ESLT,Elbit Systems Ltd.,Industrials,XLI,26886275826.0,729.88,1,1,1,1,1,1,1,0,1,8,9,2.3488003589808404,26.292111501392924,54.52428335521024,74.57604874056351,52.310206633262375,11,6,2,4,15.925628322825268,21.07122796725638,,,2026-01-27,0
LHX,"L3Harris Technologies, Inc.",Industrials,XLI,55719850780.0,360.54,1,1,1,1,1,1,1,0,1,8,9,3.6600442770478248,21.832865880444707,21.845217979046996,79.27561633717485,56.369344197745264,7,12,23,4,25.685756147098115,16.611982346308164,,,2026-01-27,0
RKLB,"Rocket Lab USA, Inc.",Industrials,XLI,39592053101.0,87.0,0,1,1,1,1,1,1,0,1,7,9,-0.9337280801639648,24.07301768397032,42.81024294156271,58.11809274873051,40.42998157760814,76,8,5,4,13.867973653210576,18.852134149833777,,,2026-01-27,0
BCH,Banco de Chile,Financial Services,XLF,19117482617.0,45.26,1,1,1,1,1,1,1,0,0,7,9,8.981459186130492,18.94875164257557,29.759174311926586,78.95827758841679,38.16405970601875,6,9,10,11,17.206864086152706,23.142533276704267,,,2026-01-27,0
TWTR,"Twitter, Inc. (delisted)",Communication Services,XLC,41093709770.0,53.7,1,1,1,1,1,1,1,0,0,7,9,7.636800962116652,22.490875912408747,30.784218217243065,69.52371053009469,42.7741502110863,5,3,2,10,83.99076775655554,23.330641795859417,,,2026-01-27,0
KOF,"Coca-Cola FEMSA, S.A.B. de C.V.",Consumer Defensive,XLP,20214208006.0,108.58,1,1,1,0,1,1,1,0,1,7,9,6.64964148904823,13.363959072875332,25.250893990079604,79.37391198835245,44.70607837601298,4,7,4,3,7.587624183772568,7.129927391730729,,,2026-01-27,0
AGNC,AGNC Investment Corp.,Real Estate,XLRE,11542478853.0,12.17,1,1,1,0,1,1,1,0,1,7,9,4.017094017094025,12.476894639556368,21.70000000000001,76.15055870199754,51.654188753286654,2,2,2,5,1.5102338361064005,10.950928604606824,,,2026-01-27,0
STZ,"Constellation Brands, Inc.",Consumer Defensive,XLP,24390656830.0,161.25,0,1,1,1,1,1,1,0,1,7,9,-1.303709144326104,16.41758717782111,25.116387337057724,66.10779695961507,42.63620865585745,38,5,5,3,14.546361149098177,10.183555496676508,,,2026-01-27,0
EC,Ecopetrol S.A.,Energy,XLE,19489313288.0,13.08,0,1,1,1,1,1,1,0,1,7,9,1.789883268482484,32.92682926829269,41.4054054054054,76.11951909405067,37.32708791194512,36,4,2,1,27.20768770130335,21.60903455740071,,,2026-01-27,0
RGC,Regencell Bioscience Holdings Limited,Healthcare,XLV,12485844927.0,32.05,1,1,1,1,1,1,1,0,0,7,9,46.28023733455042,36.49914821124361,96.02446483180424,53.93476566692924,40.21032435760434,2,3,2,9,110.32555103134926,36.73019884984191,,,2026-01-27,0
CDE,"Coeur Mining, Inc.",Basic Materials,XLB,12259692534.0,25.71,1,1,0,1,1,1,1,0,1,7,9,12.2217372326495,40.4150737302021,45.2542372881356,76.59439534719488,34.19026851851748,4,4,17,2,20.87185780908001,31.145287984683968,,,2026-01-27,1
KTOS,"Kratos Defense & Security Solutions, Inc.",Industrials,XLI,13894263839.0,118.06,0,1,1,1,1,1,1,0,1,7,9,-2.098018077784225,52.39447528075385,33.70328425821065,64.11469761549176,33.71301138688828,102,4,7,4,32.10880516843218,47.173591746617305,,,2026-01-27,0
KRMN,Karman Holdings Inc.,Industrials,XLI,10583148351.0,113.34,1,1,1,0,1,1,1,0,1,7,9,8.159175493844838,46.03788171627368,32.406542056074784,74.2454333421855,36.24198115043915,2,5,10,4,-0.8017274901575,40.81699818213713,,,2026-01-27,0
PSLV,Sprott Physical Silver Trust,Financial Services,XLF,13790428261.0,34.28,1,1,1,1,1,1,1,0,0,7,9,12.911725955204222,41.24433456942729,111.99752628324052,74.63780084044275,42.42091638144782,2,3,2,11,71.80354451371645,45.43811620355599,,,2026-01-27,1
HL,Hecla Mining Company,Basic Materials,XLB,13603003001.0,28.31,0,1,1,1,1,1,1,0,1,7,9,-1.9736842105263164,47.44791666666666,119.45736434108528,65.15964647626622,47.1635224179256,43,2,2,2,16.2703338902918,38.17813092114852,,,2026-01-27,1
FTAI,FTAI Aviation Ltd.,Industrials,XLI,17665109144.0,282.0,0,1,1,1,1,1,1,0,1,7,9,-1.7421602787456414,63.16611699357748,50.99593060612551,77.33895516483291,56.74823604145165,94,3,3,4,52.69762371379012,57.945233459440935,,,2026-01-27,0
PAAS,Pan American Silver Corp.,Basic Materials,XLB,19738502444.0,64.31,1,0,1,1,1,1,1,0,1,7,9,12.41041775913303,23.104900459418065,81.00197016605686,74.37257046268203,35.72701619249691,3,18,6,2,16.801643970665058,13.835114713899932,,,2026-01-27,1
PBR-A,Petróleo Brasileiro S.A. - Petrobras,Energy,XLE,72756693560.0,14.01,1,1,1,1,1,0,1,0,1,7,9,10.838607594936713,26.90217391304348,26.55826558265581,85.41966548787028,36.15073324593448,3,7,9,1,15.436418239816806,15.5843792021515,,,2026-01-27,0
SAN,"Banco Santander, S.A.",Financial Services,XLF,175760687795.0,13.05,1,1,1,1,1,1,1,0,0,7,9,7.142857142857162,11.72945205479452,27.44140625,74.38609393370072,32.799967958670486,11,22,16,11,13.856382859439687,15.923233688923222,,,2026-01-27,0
COG,Cabot Oil & Gas Corporation,Energy,XLE,17093762928.0,22.25,0,1,1,1,1,1,1,0,1,7,9,0.8612873980054392,24.929814710836617,26.348665530948324,72.0983872868624,51.13404721813222,42,8,10,1,56.45422567779181,13.612019999944636,,,2026-01-27,1
HII,"Huntington Ingalls Industries, Inc.",Industrials,XLI,13911487818.0,422.79,0,1,1,1,1,1,1,0,1,7,9,0.0260244156335742,22.28906950510514,32.50697339141881,70.83748200337207,36.73043797916869,56,10,9,4,16.557658346057668,17.068185970968596,,,2026-01-27,0
RTO,Rentokil Initial plc,Industrials,XLI,15107377530.0,33.45,1,0,1,1,1,1,1,0,1,7,9,3.720930232558151,11.835506519558692,21.63636363636365,78.30782717380644,35.24252689201896,6,29,25,4,27.267143717688192,6.614622985422147,,,2026-01-27,0
NOC,Northrop Grumman Corporation,Industrials,XLI,82787148142.0,678.74,1,1,0,1,1,1,1,0,1,7,9,2.1952541556251592,17.47377894700406,17.30729346698927,70.039436709555,29.435739554246236,12,15,36,4,30.11443562411371,12.252895412867517,,,2026-01-27,0
BSAC,Banco Santander-Chile,Financial Services,XLF,14609285980.0,36.93,1,1,1,1,1,1,1,0,0,7,9,8.267370272647323,18.02492809204219,28.14018043025677,78.44057861863875,46.17514759038582,7,12,15,11,12.375900141445694,22.218709726170893,,,2026-01-27,0
PBR,Petróleo Brasileiro S.A. - Petrobras,Energy,XLE,76236859350.0,15.02,1,1,1,1,1,0,1,0,1,7,9,11.176905995558853,29.59447799827437,28.156996587030704,86.69309948795447,38.4651327253584,2,5,7,1,13.948848093179912,18.27668328738239,,,2026-01-27,0
LMT,Lockheed Martin Corporation,Industrials,XLI,112928679786.0,594.95,0,1,1,1,1,1,1,0,1,7,9,1.487470787916001,21.69902018941641,21.487788940619133,73.56476323693937,33.394171611997514,21,13,26,4,28.43948657762738,16.478136655279865,,,2026-01-27,0
